Sensor,Característica,Min_global,Max_global,Media_global,Std_global,Mediana_global,IQR_global,Min_NoStress,Max_NoStress,Media_NoStress,Std_NoStress,Min_Stress,Max_Stress,Media_Stress,Std_Stress
ECG (chest),c_ECG_spectral_entropy,8.201174,10.30777,9.770396,0.369181,9.873511,0.394675,8.26525,10.303905,9.777363,0.371299,8.201174,10.30777,9.754015,0.364215
ECG (chest),c_ECG_hr_mean,50.798258,108.571292,76.232262,11.970881,74.718723,16.422931,50.798258,106.129521,72.413009,10.811964,67.689791,108.571292,85.212996,9.520499
ECG (chest),c_ECG_hr_std,2.326359,27.835557,7.878892,4.504263,6.58173,3.405544,2.326359,18.146364,6.164709,2.068911,3.901569,27.835557,11.909684,5.901995
ECG (chest),c_ECG_rr_mean,0.552632,1.181143,0.806676,0.127516,0.803012,0.171254,0.565347,1.181143,0.846668,0.123701,0.552632,0.886397,0.712637,0.076978
ECG (chest),c_ECG_rr_std,0.014396,0.273851,0.081097,0.040058,0.070587,0.042912,0.014396,0.187202,0.071753,0.02836,0.027851,0.273851,0.10307,0.052962
ECG (chest),c_ECG_rmssd,0.005095,0.271137,0.065919,0.046485,0.051384,0.047265,0.005095,0.177731,0.055013,0.031124,0.011558,0.271137,0.091564,0.063528
ECG (chest),c_ECG_pnn50,0.0,0.773585,0.26033,0.190713,0.222222,0.298293,0.0,0.773585,0.266594,0.203393,0.0,0.7375,0.245602,0.156222
EDA (chest),c_EDA_mean,0.582896,19.969665,4.594838,3.438642,3.719873,4.335549,0.582896,12.954057,4.024611,2.959714,1.192099,19.969665,5.935691,4.063295
EDA (chest),c_EDA_std,0.007825,1.767125,0.053585,0.098911,0.019259,0.032892,0.007825,0.433464,0.029544,0.040178,0.0095,1.767125,0.110115,0.156493
EDA (chest),c_EDA_min,0.0,19.680405,4.351342,3.402624,3.518677,4.354477,0.445175,12.770844,3.823864,2.952091,0.0,19.680405,5.591675,4.019931
EDA (chest),c_EDA_max,0.737762,20.433426,4.80091,3.519716,3.871536,4.354858,0.737762,13.130569,4.172114,2.975777,1.351929,20.433426,6.279485,4.198274
EDA (chest),c_EDA_median,0.575256,19.923782,4.59016,3.436143,3.720093,4.336929,0.575256,12.956619,4.022802,2.960349,1.179886,19.923782,5.924266,4.058276
EDA (chest),c_EDA_range,0.128937,9.41925,0.449568,0.505238,0.3479,0.183105,0.128937,1.412201,0.34825,0.14827,0.159836,9.41925,0.687811,0.851167
EDA (chest),c_EDA_kurtosis,-1.720642,109.60546,3.770291,7.800874,1.514604,5.50423,-1.447449,71.597489,4.409028,7.175123,-1.720642,109.60546,2.268341,8.938662
EDA (chest),c_EDA_skewness,-6.512964,4.167993,0.560894,0.704345,0.45613,0.874839,-2.102795,2.6515,0.597334,0.599185,-6.512964,4.167993,0.475208,0.900068
EDA (chest),c_EDA_q25,0.555038,19.874954,4.553755,3.411784,3.702164,4.34227,0.555038,12.914658,4.001502,2.949317,1.171112,19.874954,5.852344,4.024498
EDA (chest),c_EDA_q75,0.606537,20.013046,4.631743,3.466237,3.735733,4.302216,0.606537,13.009262,4.045042,2.970524,1.199722,20.013046,6.011333,4.104718
EDA (chest),c_EDA_iqr,0.009155,3.281021,0.077988,0.165048,0.025177,0.053406,0.009155,0.833511,0.043541,0.068344,0.009918,3.281021,0.158988,0.266678
EDA (chest),c_EDA_rms,0.583856,19.970176,4.595724,3.439297,3.719917,4.326652,0.583856,12.954238,4.024868,2.959784,1.192538,19.970176,5.938055,4.06434
EDA (chest),c_EDA_zcr,0.000167,0.642333,0.172445,0.157554,0.134786,0.23119,0.000643,0.642333,0.21531,0.160745,0.000167,0.511405,0.071653,0.089355
EDA (chest),c_EDA_peak_freq,0.016667,0.266667,0.021131,0.014153,0.016667,0.0,0.016667,0.266667,0.020222,0.012947,0.016667,0.133333,0.023269,0.016475
EDA (chest),c_EDA_spectral_energy,1.285803,65577.330895,265.552744,2378.245297,7.788643,41.500839,1.285803,3945.719478,52.183635,218.33219,1.89528,65577.330895,767.27691,4304.219174
EDA (chest),c_EDA_spectral_entropy,1.048432,13.736684,6.831514,3.906668,5.964268,6.620393,1.431405,13.736684,7.973271,3.910454,1.048432,12.693541,4.146745,2.221484
EDA (chest),c_EDA_scl_mean,0.582728,19.971281,4.594865,3.438657,3.719909,4.335642,0.582728,12.954775,4.024725,2.959841,1.192922,19.971281,5.935513,4.063216
EDA (chest),c_EDA_scl_std,0.000582,1.760819,0.043247,0.09208,0.014592,0.033653,0.000582,0.430645,0.02327,0.04031,0.001445,1.760819,0.090221,0.146618
EDA (chest),c_EDA_scr_mean,-0.014935,0.023043,-2.6e-05,0.001918,-3e-06,0.000776,-0.004512,0.00712,-0.000114,0.000733,-0.014935,0.023043,0.000178,0.003321
EDA (chest),c_EDA_scr_std,0.006684,0.387031,0.022858,0.032549,0.012597,0.0072,0.006684,0.093789,0.012907,0.007494,0.0076,0.387031,0.046258,0.051415
EDA (chest),c_EDA_scr_num_peaks,770.0,10493.0,5986.462345,2128.456943,5701.0,3478.0,1570.0,10493.0,6603.949728,1999.071777,770.0,8853.0,4534.479233,1669.868101
EDA (chest),c_EDA_deriv_mean,-5.4e-05,9e-05,0.0,6e-06,0.0,2e-06,-2.4e-05,3.2e-05,-1e-06,4e-06,-5.4e-05,9e-05,3e-06,1e-05
EDA (chest),c_EDA_deriv_std,0.004637,0.053041,0.012815,0.005572,0.012055,0.007504,0.004637,0.027786,0.013378,0.005332,0.004789,0.053041,0.011493,0.0059
EMG (chest),c_EMG_mean,-0.006291,0.002445,-0.00296,0.00091,-0.002973,0.000967,-0.004284,-0.001917,-0.002969,0.000572,-0.006291,0.002445,-0.002938,0.001419
EMG (chest),c_EMG_std,0.006859,0.073177,0.013138,0.005654,0.011598,0.005249,0.006859,0.03592,0.012745,0.004441,0.007332,0.073177,0.014062,0.007727
EMG (chest),c_EMG_min,-1.5,-0.041245,-0.11945,0.095851,-0.092606,0.072968,-0.402878,-0.041245,-0.115699,0.072224,-1.5,-0.042526,-0.128268,0.13587
EMG (chest),c_EMG_max,0.022842,1.04718,0.115268,0.099821,0.082077,0.093109,0.022842,0.792526,0.111887,0.094317,0.025085,1.04718,0.123217,0.11146
EMG (chest),c_EMG_median,-0.004807,0.002838,-0.002619,0.001064,-0.002609,0.001328,-0.004807,-0.001144,-0.002623,0.000837,-0.00444,0.002838,-0.002611,0.001467
EMG (chest),c_EMG_range,0.066605,1.982162,0.234717,0.183495,0.175873,0.16571,0.066605,1.108978,0.227586,0.159753,0.067886,1.982162,0.251485,0.229291
EMG (chest),c_EMG_kurtosis,0.095681,384.442971,6.557525,21.973753,2.208988,3.83387,0.099499,140.888574,5.935348,12.849332,0.095681,384.442971,8.020536,35.069307
EMG (chest),c_EMG_skewness,-18.352417,5.605585,-0.189296,0.930418,-0.248934,0.433133,-1.688479,5.605585,-0.163594,0.593278,-18.352417,1.708431,-0.249731,1.439925
EMG (chest),c_EMG_q25,-0.023758,-0.002518,-0.010194,0.002677,-0.009705,0.002975,-0.023117,-0.006454,-0.010067,0.002412,-0.023758,-0.002518,-0.010491,0.003198
EMG (chest),c_EMG_q75,0.000412,0.018631,0.004583,0.002566,0.004074,0.002197,0.000412,0.01593,0.004446,0.002131,0.000595,0.018631,0.004905,0.003357
EMG (chest),c_EMG_iqr,0.008698,0.041439,0.014777,0.00486,0.013458,0.004761,0.008698,0.039047,0.014513,0.004329,0.009155,0.041439,0.015397,0.005886
EMG (chest),c_EMG_rms,0.007546,0.073441,0.013531,0.005574,0.012068,0.005223,0.007546,0.036055,0.013123,0.004369,0.007981,0.073441,0.014492,0.007619
EMG (chest),c_EMG_zcr,0.235048,0.540286,0.352217,0.052722,0.34619,0.063762,0.235048,0.540286,0.347913,0.052621,0.261929,0.538143,0.362336,0.051644
EMG (chest),c_EMG_peak_freq,0.266667,199.716667,42.280267,23.41981,39.266667,32.15,9.083333,199.716667,44.016803,22.05393,0.266667,199.316667,38.196912,25.93695
EMG (chest),c_EMG_spectral_energy,0.98788,112.451484,4.295449,6.251246,2.82502,2.736567,0.98788,27.094658,3.824677,3.036404,1.128802,112.451484,5.40244,10.382219
EMG (chest),c_EMG_spectral_entropy,10.050036,13.692284,13.091847,0.265275,13.087887,0.331235,12.392856,13.630507,13.088338,0.226507,10.050036,13.692284,13.100098,0.339725
EMG (chest),c_EMG_mav,0.005748,0.033203,0.009893,0.00338,0.008909,0.003527,0.005748,0.026205,0.00965,0.002979,0.005975,0.033203,0.010464,0.004123
EMG (chest),c_EMG_var,4.7e-05,0.005355,0.000205,0.000298,0.000135,0.00013,4.7e-05,0.00129,0.000182,0.000145,5.4e-05,0.005355,0.000257,0.000494
EMG (chest),c_EMG_wl,215.046249,1152.911362,393.459319,114.32043,371.27536,110.889771,215.046249,960.537415,383.088101,101.884701,260.959808,1152.911362,417.846591,136.361835
RESP (chest),c_RESP_mean,-0.640286,0.650433,0.053723,0.097418,0.05401,0.071588,-0.341455,0.405329,0.055981,0.075982,-0.640286,0.650433,0.048416,0.135044
RESP (chest),c_RESP_std,0.233756,9.662038,3.271277,1.493531,2.934087,1.887996,0.233756,7.5882,2.764738,1.09973,1.286176,9.662038,4.462371,1.617109
RESP (chest),c_RESP_min,-50.0,-1.002502,-8.94434,5.286451,-7.627869,6.391907,-25.318909,-1.002502,-7.912026,4.483129,-50.0,-3.627014,-11.371761,6.172465
RESP (chest),c_RESP_max,0.761414,37.886047,10.242895,6.233827,8.576965,7.165527,0.761414,32.363892,8.237584,4.549115,3.601074,37.886047,14.958259,7.070249
RESP (chest),c_RESP_median,-2.593231,0.901794,-0.355807,0.405597,-0.309753,0.408936,-1.148987,0.644684,-0.26742,0.250196,-2.593231,0.901794,-0.563644,0.58596
RESP (chest),c_RESP_range,1.763916,66.308594,19.187235,10.714511,16.716003,14.234924,1.763916,53.132629,16.14961,8.622086,7.565308,66.308594,26.33002,11.72751
RESP (chest),c_RESP_kurtosis,-1.454317,19.795186,0.786635,2.248469,0.118211,2.157059,-1.454317,19.795186,0.653853,2.415552,-0.949753,14.533945,1.098862,1.759722
RESP (chest),c_RESP_skewness,-1.770891,2.989184,0.257634,0.531996,0.273337,0.465929,-1.770891,2.989184,0.140671,0.492043,-1.762315,1.726331,0.532664,0.521685
RESP (chest),c_RESP_q25,-6.207275,-0.115967,-2.087978,0.844965,-1.93634,0.930786,-4.029846,-0.115967,-1.789518,0.577766,-6.207275,-0.679016,-2.78979,0.952655
RESP (chest),c_RESP_q75,0.250244,5.037308,2.165142,0.702104,2.095032,0.816345,0.250244,4.295349,2.046068,0.637375,0.721741,5.037308,2.445136,0.765954
RESP (chest),c_RESP_iqr,0.366211,10.45723,4.25312,1.46757,4.074097,1.6922,0.366211,7.748413,3.835586,1.190498,1.617432,10.45723,5.234926,1.586616
RESP (chest),c_RESP_rms,0.243876,9.662875,3.273028,1.493835,2.937458,1.89002,0.243876,7.588787,2.766355,1.099711,1.286696,9.662875,4.464439,1.617747
RESP (chest),c_RESP_zcr,0.001071,0.067167,0.005671,0.004725,0.004667,0.002714,0.001071,0.067167,0.006182,0.005383,0.001214,0.013833,0.004469,0.002155
RESP (chest),c_RESP_peak_freq,0.05,0.55,0.236908,0.078675,0.25,0.133333,0.05,0.4,0.260711,0.06435,0.05,0.55,0.180937,0.080974
RESP (chest),c_RESP_spectral_energy,1147.472198,1960454.403489,271524.963453,266388.713805,180786.233889,249328.1307,1147.472198,1209196.38991,185882.342936,157563.049113,34739.239382,1960454.403489,472908.250035,349128.39804
RESP (chest),c_RESP_spectral_entropy,0.878646,6.17061,3.906692,0.618682,4.022769,0.705559,0.878646,6.17061,3.737619,0.6327,3.383857,5.446816,4.304256,0.341577
RESP (chest),c_RESP_rate_mean,22.407062,36.770428,31.946528,2.023194,32.198558,2.106337,22.407062,36.770428,31.986723,2.184275,26.546091,35.124831,31.852013,1.580204
RESP (chest),c_RESP_rate_std,1.321169,8.430318,6.718093,0.776332,6.767326,0.934301,1.321169,8.430318,6.683399,0.857948,5.261623,8.12079,6.799673,0.529988
RESP (chest),c_RESP_insp_time,1.631746,2.677727,1.88662,0.135307,1.863437,0.122382,1.631746,2.677727,1.88583,0.148802,1.708193,2.26022,1.888477,0.096591
TEMP (chest),c_TEMP_mean,28.201851,35.630978,33.764946,1.324771,34.126209,0.980728,28.201851,35.082088,33.596416,1.40211,31.063196,35.630978,34.161247,1.019445
TEMP (chest),c_TEMP_std,0.016181,13.619153,0.071667,0.598752,0.032184,0.01448,0.016181,1.748421,0.044153,0.098407,0.017178,13.619153,0.136364,1.084163
TEMP (chest),c_TEMP_min,-273.149994,35.510071,33.025955,13.456249,34.005676,0.98349,28.045258,34.952545,33.441509,1.436999,-273.149994,35.510071,32.048801,24.535318
TEMP (chest),c_TEMP_max,28.414581,35.778046,33.971401,1.293751,34.312317,0.961761,28.414581,35.233856,33.801388,1.36688,31.245789,35.778046,34.37117,0.996139
TEMP (chest),c_TEMP_median,28.19342,35.640808,33.769039,1.328591,34.127594,0.983856,28.19342,35.089966,33.599396,1.407185,31.059265,35.640808,34.167938,1.018215
TEMP (chest),c_TEMP_range,0.210236,306.941376,0.945445,13.382915,0.319183,0.10025,0.210236,5.479279,0.35988,0.29697,0.220825,306.941376,2.322365,24.467974
TEMP (chest),c_TEMP_kurtosis,-1.661053,500.967987,2.087738,21.937979,0.777028,1.391684,-1.661053,20.378874,1.341507,2.598922,-1.469634,500.967987,3.842454,39.953419
TEMP (chest),c_TEMP_skewness,-22.426296,2.769979,-0.272021,1.12923,-0.321966,0.642265,-1.798594,2.769979,-0.190668,0.573419,-22.426296,2.728004,-0.463317,1.859115
TEMP (chest),c_TEMP_q25,28.167755,35.622131,33.735909,1.338372,34.106201,0.989624,28.167755,35.065277,33.567631,1.41857,31.043121,35.622131,34.131588,1.025796
TEMP (chest),c_TEMP_q75,28.226196,35.65329,33.80051,1.317516,34.154999,0.971954,28.226196,35.106995,33.629425,1.393566,31.081268,35.65329,34.202805,1.012074
TEMP (chest),c_TEMP_iqr,0.014771,2.881683,0.064605,0.153154,0.039276,0.031494,0.014771,2.881683,0.061793,0.17002,0.019226,1.390945,0.071217,0.103091
TEMP (chest),c_TEMP_rms,28.201885,35.630993,33.770271,1.326192,34.128983,0.981377,28.201885,35.082108,33.5966,1.401865,31.063204,35.630993,34.178658,1.019623
TEMP (chest),c_TEMP_zcr,4.8e-05,0.5355,0.293794,0.130357,0.312429,0.197,0.001976,0.5355,0.301614,0.126125,4.8e-05,0.5165,0.275404,0.13828
TEMP (chest),c_TEMP_slope,-0.000114,0.000139,1e-06,7e-06,1e-06,2e-06,-0.000114,0.000139,1e-06,8e-06,-2.7e-05,5.9e-05,1e-06,6e-06
TEMP (chest),c_TEMP_deriv_mean,-8.9e-05,0.000127,1e-06,7e-06,1e-06,3e-06,-8.9e-05,0.000127,1e-06,7e-06,-2.6e-05,4.9e-05,1e-06,5e-06
TEMP (chest),c_TEMP_deriv_std,0.009297,1.496971,0.020152,0.064674,0.017671,0.004617,0.009297,0.024514,0.016965,0.00344,0.009849,1.496971,0.027647,0.118073
ACC (chest),c_ACC_x_mean,0.265624,0.916237,0.804054,0.128902,0.856708,0.171269,0.265624,0.915733,0.78573,0.1409,0.623914,0.916237,0.847141,0.079932
ACC (chest),c_ACC_x_std,0.002595,0.333887,0.015897,0.021701,0.010196,0.01048,0.002595,0.218282,0.01346,0.018621,0.006459,0.333887,0.021627,0.026796
ACC (chest),c_ACC_x_min,-6.6,0.899,0.709505,0.344442,0.7592,0.161,0.2346,0.899,0.723181,0.14213,-6.6,0.8714,0.677348,0.591136
ACC (chest),c_ACC_x_max,0.2914,1.5534,0.903073,0.166396,0.9326,0.1718,0.2914,1.5534,0.866613,0.167927,0.707,1.4948,0.988805,0.126734
ACC (chest),c_ACC_x_median,0.265,0.9166,0.803603,0.130676,0.8568,0.1738,0.265,0.9166,0.785167,0.143025,0.6216,0.9164,0.846954,0.080507
ACC (chest),c_ACC_x_range,0.0232,7.7006,0.193568,0.358122,0.1338,0.1586,0.0232,0.9742,0.143433,0.133078,0.0582,7.7006,0.311458,0.60762
ACC (chest),c_ACC_x_kurtosis,-1.864105,499.018156,9.885061,27.079108,3.458933,8.351323,-1.864105,108.607931,8.535316,14.990269,-1.611368,499.018156,13.058901,43.809801
ACC (chest),c_ACC_x_skewness,-22.360909,8.748699,0.304191,1.618211,0.131999,1.058226,-5.764813,8.748699,0.345498,1.380496,-22.360909,5.99716,0.207061,2.071905
ACC (chest),c_ACC_x_q25,0.2606,0.9138,0.795566,0.13147,0.8462,0.175,0.2606,0.9138,0.777999,0.144059,0.6114,0.913,0.836874,0.082031
ACC (chest),c_ACC_x_q75,0.2698,0.925,0.811692,0.128942,0.8664,0.166,0.2698,0.9192,0.79248,0.140739,0.6342,0.925,0.856867,0.079163
ACC (chest),c_ACC_x_iqr,0.003,0.424,0.016126,0.026158,0.0098,0.0098,0.003,0.424,0.014481,0.029643,0.0068,0.1494,0.019994,0.014384
ACC (chest),c_ACC_x_rms,0.265717,0.955443,0.804532,0.128723,0.857096,0.166448,0.265717,0.915747,0.786128,0.140551,0.624258,0.955443,0.847808,0.080258
ACC (chest),c_ACC_x_zcr,7.1e-05,0.226357,0.073744,0.041573,0.071405,0.057524,7.1e-05,0.226357,0.082881,0.044108,0.000857,0.112524,0.052259,0.02371
ACC (chest),c_ACC_y_mean,-0.479734,0.202548,-0.031567,0.103414,-0.020485,0.079267,-0.479734,0.202548,-0.04221,0.115615,-0.143207,0.165874,-0.006543,0.059482
ACC (chest),c_ACC_y_std,0.002583,0.296808,0.022542,0.026448,0.014276,0.020003,0.002583,0.193348,0.021495,0.025914,0.00457,0.296808,0.025003,0.02755
ACC (chest),c_ACC_y_min,-6.6,0.1578,-0.140253,0.305184,-0.107,0.1126,-0.6222,0.1578,-0.126593,0.12424,-6.6,0.0532,-0.172373,0.524411
ACC (chest),c_ACC_y_max,-0.4426,0.5176,0.061688,0.134256,0.067,0.1244,-0.4426,0.409,0.036743,0.135902,-0.123,0.5176,0.120344,0.11007
ACC (chest),c_ACC_y_median,-0.4742,0.2132,-0.031127,0.1058,-0.0202,0.0804,-0.4742,0.2132,-0.041621,0.118447,-0.1432,0.1638,-0.006449,0.060645
ACC (chest),c_ACC_y_range,0.0224,6.9854,0.201941,0.323051,0.1516,0.158,0.0224,0.8092,0.163336,0.119176,0.0426,6.9854,0.292717,0.552547
ACC (chest),c_ACC_y_kurtosis,-1.920876,487.581856,6.536276,22.603639,2.837167,6.535095,-1.920876,68.180168,5.189583,8.36251,-1.498298,487.581856,9.702942,39.205886
ACC (chest),c_ACC_y_skewness,-21.977109,5.251429,-0.194665,1.701619,-0.019091,1.262043,-7.460352,5.251429,-0.161023,1.458265,-21.977109,4.569656,-0.273772,2.169646
ACC (chest),c_ACC_y_q25,-0.48,0.1982,-0.044055,0.104833,-0.0328,0.076,-0.48,0.1982,-0.054658,0.117114,-0.1672,0.153,-0.019125,0.060954
ACC (chest),c_ACC_y_q75,-0.469,0.24865,-0.018647,0.106406,-0.0098,0.082,-0.469,0.24865,-0.029417,0.118906,-0.1404,0.1836,0.006675,0.061697
ACC (chest),c_ACC_y_iqr,0.0032,0.3968,0.025408,0.040215,0.0132,0.0176,0.0032,0.3968,0.025241,0.045171,0.0056,0.1472,0.0258,0.025005
ACC (chest),c_ACC_y_rms,0.003944,0.480291,0.077207,0.083268,0.05308,0.05684,0.003944,0.480291,0.085587,0.094604,0.007034,0.297872,0.0575,0.040624
ACC (chest),c_ACC_y_zcr,7.1e-05,0.21619,0.057803,0.04445,0.048381,0.065786,7.1e-05,0.21619,0.061992,0.049059,0.00069,0.128381,0.047951,0.028775
ACC (chest),c_ACC_z_mean,-0.942175,0.649589,-0.345575,0.25885,-0.316919,0.374926,-0.942175,0.649589,-0.377594,0.266221,-0.707576,0.326,-0.270282,0.223595
ACC (chest),c_ACC_z_std,0.004229,0.370649,0.038443,0.04647,0.024206,0.030042,0.004229,0.370649,0.034914,0.048289,0.0111,0.296243,0.046741,0.040769
ACC (chest),c_ACC_z_min,-6.6,0.5338,-0.485692,0.362722,-0.4552,0.3476,-1.0328,0.5338,-0.476526,0.240506,-6.6,0.2274,-0.507247,0.552269
ACC (chest),c_ACC_z_max,-0.918,1.033,-0.169247,0.336078,-0.1324,0.473,-0.918,0.7862,-0.228514,0.332122,-0.6216,1.033,-0.029884,0.302931
ACC (chest),c_ACC_z_median,-0.9422,0.6524,-0.348811,0.261262,-0.3242,0.3716,-0.9422,0.6524,-0.380578,0.269166,-0.7102,0.337,-0.274113,0.224993
ACC (chest),c_ACC_z_range,0.038,7.4714,0.316446,0.405077,0.2236,0.2614,0.038,1.481,0.248012,0.216567,0.119,7.4714,0.477362,0.635337
ACC (chest),c_ACC_z_kurtosis,-1.955,488.699895,4.692579,22.430869,1.432687,3.42253,-1.955,74.225133,3.411753,7.055416,-1.906159,488.699895,7.70436,39.49443
ACC (chest),c_ACC_z_skewness,-22.01236,8.48083,0.513013,1.578504,0.259939,1.167241,-2.973041,8.48083,0.537028,1.260185,-22.01236,5.410496,0.456543,2.1503
ACC (chest),c_ACC_z_q25,-0.9454,0.6446,-0.369559,0.253183,-0.3474,0.3624,-0.9454,0.6446,-0.400281,0.259044,-0.721,0.3146,-0.29732,0.2231
ACC (chest),c_ACC_z_q75,-0.9394,0.6586,-0.326519,0.271178,-0.291,0.3862,-0.9394,0.6586,-0.360539,0.279816,-0.697,0.3534,-0.246524,0.231106
ACC (chest),c_ACC_z_iqr,0.0054,0.75425,0.04304,0.068538,0.0256,0.03045,0.0054,0.75425,0.039742,0.073631,0.0128,0.5132,0.050796,0.054043
ACC (chest),c_ACC_z_rms,0.018573,0.942187,0.371121,0.228727,0.330556,0.362427,0.022776,0.942187,0.402869,0.233823,0.018573,0.707974,0.296466,0.197387
ACC (chest),c_ACC_z_zcr,2.4e-05,0.212381,0.058224,0.044901,0.047524,0.052929,2.4e-05,0.212381,0.066074,0.050106,0.000119,0.102095,0.039767,0.019248
ACC (chest),c_ACC_mag_mean,0.903819,0.982927,0.930527,0.016704,0.925272,0.021731,0.903819,0.982927,0.932995,0.018486,0.904107,0.944959,0.924722,0.009164
ACC (chest),c_ACC_mag_std,0.002567,0.467476,0.010338,0.021093,0.007124,0.007314,0.002567,0.032345,0.006967,0.004533,0.005057,0.467476,0.018265,0.036827
ACC (chest),c_ACC_mag_min,0.570667,0.965318,0.854564,0.065388,0.86994,0.076679,0.570667,0.965318,0.872954,0.057592,0.590688,0.904665,0.811322,0.062241
ACC (chest),c_ACC_mag_max,0.923483,11.431535,1.040266,0.465214,0.99677,0.067411,0.923483,1.565696,1.000125,0.068712,0.948323,11.431535,1.134653,0.838512
ACC (chest),c_ACC_mag_median,0.90351,0.982932,0.930433,0.016969,0.925299,0.022321,0.903515,0.982932,0.932972,0.018757,0.90351,0.945087,0.924462,0.009351
ACC (chest),c_ACC_mag_range,0.024513,10.665352,0.185701,0.482163,0.120836,0.144148,0.024513,0.955036,0.127171,0.117585,0.058257,10.665352,0.323331,0.84926
ACC (chest),c_ACC_mag_kurtosis,-0.983198,500.022673,15.666806,31.472615,6.376205,14.626712,-0.983198,212.338564,15.087935,23.642956,0.822256,500.022673,17.027986,44.806815
ACC (chest),c_ACC_mag_skewness,-4.425105,22.394636,0.255864,1.401263,0.098771,0.59994,-4.425105,8.98135,0.169217,1.055312,-2.568397,22.394636,0.459607,1.978015
ACC (chest),c_ACC_mag_q25,0.893558,0.980497,0.926293,0.017574,0.92166,0.023065,0.901058,0.980497,0.929849,0.018762,0.893558,0.939884,0.917932,0.010405
ACC (chest),c_ACC_mag_q75,0.906013,0.985425,0.934606,0.016457,0.929985,0.021686,0.906013,0.985425,0.936123,0.018559,0.913254,0.950525,0.93104,0.008948
ACC (chest),c_ACC_mag_iqr,0.003232,0.043647,0.008313,0.005389,0.00606,0.004365,0.003232,0.043647,0.006273,0.003839,0.005447,0.032481,0.013107,0.005472
ACC (chest),c_ACC_mag_rms,0.903852,1.043312,0.930811,0.017381,0.925409,0.021713,0.903852,0.982934,0.933033,0.01848,0.904359,1.043312,0.925586,0.013086
ACC (chest),c_ACC_mag_zcr,0.003333,0.238786,0.132813,0.0545,0.136714,0.089881,0.003333,0.238786,0.154871,0.047557,0.005857,0.165571,0.080945,0.028319
ACC (chest),c_ACC_mag_peak_freq,0.016667,23.5,3.477804,3.537416,3.733333,5.966667,0.016667,18.766667,2.895199,3.263523,0.016667,23.5,4.847764,3.775986
ACC (chest),c_ACC_mag_spectral_energy,0.138395,4589.214381,11.578985,200.205326,1.0657,2.557976,0.138395,21.970472,1.45025,2.529187,0.536968,4589.214381,35.396073,365.798905
ACC (chest),c_ACC_mag_spectral_entropy,3.031226,12.002823,9.795663,1.197901,9.826197,1.464104,3.031226,12.002823,9.938124,1.361605,8.12192,10.944895,9.460674,0.540408
